Name,price,country,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,total_shares,dividend_yield,potencial
TXO Energy Partners,18.12988575,United States,-215218750.0,696428757.9008,4.83703,358242500.0,38413300.97189388,1.3661471477201766e-05,Empresas de Baixo Potencial
Stellus Capital,12.95332,United States,36395625.0,336554470.8112,16.9136,40824861.25,25982101.17647059,1.3661471477201766e-05,Empresas de Baixo Potencial
TPG Real Estate Finance Trust,7.92914625,United States,-16016250.0,641693879.4336,-6.44186,176977500.0,80928495.85585585,1.3661471477201766e-05,Empresas de Baixo Potencial
Global Net Lease,8.08134776,United States,79406250.0,1882711602.886375,-19.4091,917781250.0,232970001.88572195,1.3661471477201766e-05,Empresas de Baixo Potencial
Kimbell Royalty Partners,15.124810755,United States,116703250.0,1444325658.4,12.3178,402325248.75,95493800.33879307,1.3661471477201766e-05,Empresas de Baixo Potencial
Avis Budget Group,83.42509550000001,United States,1005000000.0,2975280926.51525,1.89199,10562148750.0,35664099.73741355,1.3661471477201766e-05,Empresas de Potencial Mediano
FAT Brands,4.6936736,United States,-166600000.0,79783063.8528,-0.587321,715011250.0,16998000.0,1.3661471477201766e-05,Empresas de Baixo Potencial
Allied Properties REIT,14.14216809,Canada,-485980000.0,1976584920.5895,22.6148,536050886.25,139765339.23303837,1.3661471477201766e-05,Empresas de Baixo Potencial
Cardinal Energy,4.458932773,Canada,141371250.0,709764658.96925,5.14239,583790163.75,159178147.5753705,1.3661471477201766e-05,Empresas de Baixo Potencial
Banorte,6.694904393,Mexico,1220532500.0,15534204037.670837,7.67683,10562148750.0,468084400.97929186,7.351582026989759e-06,Empresas de Muito Alto Potencial
Alliance Resource Partners,23.793439185,United States,677640000.0,3047035370.24,4.48561,3133737500.0,128061998.37478434,1.3661471477201766e-05,Empresas de Baixo Potencial
Bancolombia,30.383155,Colombia,1220532500.0,7790119089.3567505,5.4176,8636317765.0,256395989.467083,1.3661471477201766e-05,Empresas de Potencial Mediano
Cracker Barrel,43.81746225,United States,55522500.0,972879122.9087999,10.3691,4266383750.0,22203000.19563091,1.3661471477201766e-05,Empresas de Baixo Potencial
PennyMac Mortgage Investment Trust,13.581937,United States,274663750.0,1179740595.4688,11.5161,318911250.0,86860997.47545584,1.3661471477201766e-05,Empresas de Baixo Potencial
MFA Financial,11.9151495,United States,123516250.0,1216334181.6448,-35.8,286942500.0,102082997.92166267,1.3661471477201766e-05,Empresas de Baixo Potencial
Lument Finance Trust,2.4573210000000003,United States,28722250.0,128456946.7392,17.4,43482202.5,52275200.0,1.3661471477201766e-05,Empresas de Baixo Potencial
Dorchester Minerals,28.5639755,United States,135047500.0,1145089824.4224,10.6679,201690000.0,40088601.26708903,1.3661471477201766e-05,Empresas de Baixo Potencial
International Seaways,48.986884625,United States,722996250.0,2409802004.6463747,3.87005,1280315000.0,49192799.72779806,1.3661471477201766e-05,Empresas de Baixo Potencial
SLR Investment,14.227602855,United States,127085000.0,776181160.4832,13.6697,139230000.0,54554598.437531374,1.3661471477201766e-05,Empresas de Baixo Potencial
Arbor Realty Trust,14.887841195,United States,451600000.0,2807087460.992,8.6044,853925000.0,188548992.71324477,1.3661471477201766e-05,Empresas de Baixo Potencial
KKR Real Estate Finance Trust,11.6103655,United States,45370000.0,804983736.1376,-41.5667,208318750.0,69333195.07793273,1.3661471477201766e-05,Empresas de Baixo Potencial
PennantPark Floating Rate,10.98651075,United States,124347500.0,806637372.208,-52.23688250000001,132047500.0,73420705.67837018,1.3661471477201766e-05,Empresas de Baixo Potencial
PermRock Royalty Trust,3.809895245,United States,6618050.0,46350045.849,4.92069,7752086.25,12165700.857478563,1.3661471477201766e-05,Empresas de Baixo Potencial
Birchcliff Energy,3.88313865,Canada,17152875.0,1045810415.7585,4.71721,657179906.25,269320905.0772627,1.3661471477201766e-05,Empresas de Baixo Potencial
CPFL Energia,5.765770368999999,Brazil,1220532500.0,6643603240.60275,6.50135,9883366226.25,468084400.97929186,1.3661471477201766e-05,Empresas de Potencial Mediano
Betterware de Mexico,12.400899,Mexico,173678750.0,462758149.4384,10.2763,979071237.5,37316500.15360983,1.3661471477201766e-05,Empresas de Baixo Potencial
Franklin BSP Realty Trust,12.362801000000001,United States,137058750.0,1011635578.2624,9.26897,686555000.0,81828994.76117103,1.3661471477201766e-05,Empresas de Baixo Potencial
Barings BDC,9.3816325,United States,141783750.0,992182739.4624,12.0244,154058750.0,105758005.27918781,1.3661471477201766e-05,Empresas de Baixo Potencial
TCG BDC,16.22422379,United States,138323750.0,824977505.5808,11.3032,146026250.0,50848503.83346444,1.3661471477201766e-05,Empresas de Baixo Potencial
Mach Natural Resources LP,15.633609545,United States,398770000.0,1599505944.345625,0.0,1102955000.0,102312005.40998448,1.3661471477201766e-05,Empresas de Baixo Potencial
UNITI,5.40515375,United States,-124410000.0,1319673757.030375,-41.7143,1447095000.0,244151011.80616277,1.3661471477201766e-05,Empresas de Baixo Potencial
Community Healthcare Trust,16.7916935,United States,27782500.0,471127883.81920004,70.237755,143385000.0,28057198.865570053,1.3661471477201766e-05,Empresas de Baixo Potencial
Seven Hills Realty Trust,13.096187500000001,United States,28638750.0,194208608.6272,7.53846,41281250.0,14829400.436363637,1.3661471477201766e-05,Empresas de Baixo Potencial
Sixth Street Specialty Lending,19.7061905,United States,266836250.0,1833014742.9823751,9.03057,340988750.0,93017204.05993107,1.3661471477201766e-05,Empresas de Baixo Potencial
AMERISAFE,46.0890555,United States,88453750.0,878839909.3695999,14.4671,386412500.0,19068299.40070262,1.3661471477201766e-05,Empresas de Baixo Potencial
CrossAmerica Partners,19.715715,United States,83765000.0,750117922.464,13.9865,5374513750.0,38046701.44927536,1.3661471477201766e-05,Empresas de Baixo Potencial
